,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2021/5/10,0.491483,0.541771,0.563822,0.587511,0.566575,0.550847,0.585159,0.570697,0.565286,0.568035,0.542256,0.523263,0.544924,0.528122,0.540396,0.549276,0.532937,0.518746,0.512107,0.512302,0.514731,0.503583,0.498661,0.517733
2021/5/6,0.606604,0.626002,0.608636,0.616911,0.610625,0.636392,0.641605,0.653482,0.637148,0.635024,0.649739,0.622439,0.617342,0.614646,0.597777,0.611713,0.608288,0.600347,0.599986,0.613785,0.602035,0.592461,0.609005,0.599758
2021/5/7,0.600686,0.595864,0.553244,0.574855,0.60082,0.588468,0.586173,0.579865,0.565673,0.550319,0.521895,0.588309,0.577946,0.571275,0.593013,0.637559,0.618341,0.614863,0.626426,0.618942,0.602871,0.61105,0.603321,0.608309
2021/5/8,0.611431,0.611574,0.626718,0.637795,0.640589,0.667602,0.72232,0.686811,0.678669,0.687999,0.695866,0.709263,0.719454,0.725002,0.719921,0.700844,0.704257,0.708595,0.711534,0.717358,0.724658,0.707599,0.716813,0.668494
2021/5/9,0.657138,0.671886,0.657269,0.678396,0.681577,0.654606,0.64368,0.633177,0.668855,0.665332,0.62963,0.660823,0.562699,0.564254,0.540529,0.530395,0.529386,0.491636,0.488009,0.479049,0.451531,0.483574,0.48452,0.500914
2021/5/11,0.4993,0.48559,0.467765,0.455684,0.455309,0.475989,0.456113,0.449399,0.464114,0.456281,0.458202,0.463902,0.484452,0.470638,0.476516,0.463716,0.522788,0.522871,0.503699,0.507744,0.492008,0.490468,0.504854,0.502617
2021/5/12,0.493359,0.500901,0.504683,0.508791,0.514052,0.502758,0.502476,0.49487,0.492751,0.500494,0.493752,0.491133,0.492882,0.493542,0.499943,0.508953,0.50439,0.500378,0.493062,0.496949,0.494434,0.491956,0.489585,0.477057
2021/5/13,0.453327,0.467531,0.436321,0.463736,0.467609,0.46822,0.451994,0.431631,0.420587,0.429331,0.449423,0.429522,0.443344,0.44163,0.438236,0.431745,0.418163,0.394687,0.401156,0.397639,0.40881,0.418649,0.427158,0.429522
2021/5/14,0.412554,0.38925,0.384037,0.391446,0.396023,0.414343,0.430042,0.477849,0.48555,0.481246,0.487457,0.491179,0.50918,0.521836,0.56109,0.53369,0.52778,0.524304,0.526812,0.527868,0.535866,0.530747,0.540986,0.545911
2021/5/15,0.542861,0.556108,0.575203,0.570561,0.553903,0.55059,0.555003,0.565377,0.547238,0.552704,0.549446,0.53211,0.528291,0.535083,0.527561,0.52047,0.520102,0.521015,0.508212,0.514006,0.52581,0.529765,0.516006,0.516442
2021/5/16,0.500656,0.510407,0.505653,0.50643,0.518509,0.524103,0.510966,0.507774,0.513759,0.531948,0.542015,0.530181,0.530124,0.53168,0.538914,0.53157,0.528626,0.532172,0.53004,0.52874,0.519355,0.520164,0.516316,0.51207
2021/5/17,0.509014,0.531436,0.516763,0.509559,0.504074,0.493917,0.492426,0.511687,0.510716,0.496127,0.490444,0.478081,0.479158,0.474436,0.488069,0.505269,0.508921,0.502956,0.502925,0.505414,0.506683,0.499798,0.489379,0.480312
2021/5/18,0.483019,0.476944,0.484935,0.490264,0.498813,0.490065,0.482283,0.488877,0.488635,0.490781,0.492351,0.492878,0.50205,0.496602,0.496769,0.49282,0.492898,0.49426,0.500145,0.5009,0.487099,0.485234,0.476225,0.478091
2021/5/1,0.314398,0.318339,0.333348,0.326622,0.327538,0.32885,0.335147,0.338685,0.33412,0.332647,0.335469,0.341606,0.373411,0.362932,0.360884,0.364418,0.360375,0.355489,0.359042,0.357561,0.364977,0.363725,0.359474,0.358906
2021/5/2,0.363171,0.364706,0.368589,0.366935,0.367542,0.378943,0.38516,0.391046,0.396608,0.385027,0.392082,0.382545,0.376896,0.380333,0.378274,0.373893,0.368838,0.372726,0.381728,0.37818,0.376349,0.379635,0.389235,0.389235
2021/5/3,0.383303,0.386078,0.387223,0.388159,0.387511,0.391407,0.378403,0.37908,0.384386,0.381858,0.383323,0.380019,0.381635,0.38225,0.383398,0.38998,0.38487,0.383841,0.384953,0.38562,0.390673,0.401243,0.398665,0.401658
2021/5/4,0.410124,0.40707,0.412298,0.411649,0.424334,0.434236,0.436416,0.443641,0.42926,0.419025,0.416792,0.420216,0.430619,0.436695,0.434624,0.446194,0.493104,0.482007,0.477998,0.487726,0.53668,0.587336,0.552782,0.540324
2021/5/5,0.536541,0.578803,0.557314,0.560781,0.558572,0.536605,0.542511,0.548723,0.569253,0.591974,0.582424,0.647539,0.660764,0.684762,0.673246,0.671777,0.63762,0.660207,0.672436,0.664187,0.671045,0.661554,0.653484,0.615807
